Designator,Mid X,Mid Y,Rotation,Layer
C1,69.945,-93.81,0.0,Bottom
D1,75.61,-95.0,90.0,Bottom
R1,69.975,-95.44,0.0,Bottom
U1,72.69,-94.59,0.0,Bottom
